GJ 3044               HIP 3008      00 38 15.29 +52 19 55.5  -0.076  -0.138 J00381529+5219558  7.714  7.057  6.916         Hipparcos
GJ 2011                             00 38 20.05 -26 23 37.8   0.073  -0.068 J00382004-2623377 12.217 11.944 11.896 c       2MASS
GJ 3045                             00 38 33.85 +51 27 58.0  -0.268   0.033 J00383388+5127579  8.892  8.336  8.062         2MASS
Gl 26                               00 38 59.05 +30 36 58.5   1.560   0.046 J00385879+3036583  7.453  6.864  6.606         2MASS
Gl 27                 HIP 3093      00 39 21.81 +21 15 01.7  -0.461  -0.370 J00392187+2115024  4.549  4.064  3.999         Hipparcos
GJ 3046                             00 39 33.81 +60 33 15.6  -0.151  -0.252 J00393379+6033153  9.205  8.576  8.336         2MASS
Gl 27.1               Wo 9018       00 39 58.82 -44 15 11.6   0.487  -0.223 J00395880-4415117  8.225  7.609  7.394         Hipparcos
Gl 29                 HIP 3170      00 40 25.67 -59 27 16.6   0.883   0.443 J00402566-5927168  4.833  4.672  4.486         Hipparcos
Gl 27.2               Wo 9019       00 40 32.81 -23 48 17.6   0.632  -0.357 J00403279-2348172  5.130  4.545  4.333         Hipparcos
Wo 9020 B             HIP 3203 B    00 40 47.13 -07 13 50.8   0.009  -0.102 J00404711-0713507  7.596  7.005  6.834 c       Hipparcos
Wo 9020 A             HIP 3203 A    00 40 47.48 -07 13 57.4   0.009  -0.102 J00404747-0713574  5.911  5.604  5.522 c       Hipparcos
Gl 28                 HIP 3206      00 40 49.27 +40 11 13.8   0.358  -0.669 J00404929+4011133  5.694  5.272  5.164         Hipparcos
GJ 3047                             00 40 56.23 +31 22 56.6  -0.044  -0.316 J00405623+3122565  9.491  8.864  8.592         2MASS
GJ 1015 A                           00 41 20.82 +55 50 04.4   0.304  -0.076 J00412078+5550044  9.839  9.307  9.039         2MASS
GJ 1015 B                           00 41 22.03 +55 50 08.3   0.304  -0.076 J00412199+5550083 14.066    ---    ---         2MASS
GJ 2012                             00 41 26.03 -22 21 02.3  -0.428  -0.372 J00412604-2221020 13.342 13.483 13.738         2MASS
GJ 1016               HIP 3261      00 41 30.47 -33 37 32.0  -0.348  -0.253 J00413051-3337317  7.708  7.100  6.884         Hipparcos
GJ 1017               Wo 9021       00 42 08.90 -52 21 32.3   0.628  -0.330 J00420887-5221323 10.327  9.802  9.647         Hipparcos
GJ 1018                             00 42 16.95 -36 43 05.3  -0.166   0.070 J00421695-3643053  8.827  8.251  7.970         2MASS
Gl 29.1               Wo 9022       00 42 48.25 +35 32 55.6   0.262   0.075 J00424820+3532554  7.164  6.506  6.321         Hipparcos
Gl 31.1 B             Wo 9023 B     00 43 19.72 -57 28 02.9  -0.002   0.016 J00431972-5728029  9.382  8.894  8.820 c       2MASS
Gl 31.1 A             Wo 9023 A     00 43 21.24 -57 27 47.0  -0.004   0.012 J00432123-5727470  4.160  4.354  4.308 c       Hipparcos
GJ 3049                             00 43 26.01 -41 17 34.0  -0.503  -0.549 J00432603-4117337  8.572  8.026  7.710         2MASS
Gl 30                 HIP 3418      00 43 32.86 +33 50 40.4  -0.204  -0.359 J00433289+3350412  6.592  6.051  5.938         Hipparcos
Gl 31                 HIP 3419      00 43 35.37 -17 59 11.8   0.233   0.033 J00433536-1759117  0.370 -0.219 -0.274         Hipparcos
GJ 1019                             00 43 35.59 +28 26 41.4  -0.129  -1.054 J00433558+2826414 10.392  9.880  9.670         2MASS
GJ 2013                             00 43 36.52 -27 19 37.9   0.119  -0.019 J00433651-2719379 10.896 10.325 10.262 h       2MASS
GJ 3048               HIP 3428      00 43 41.42 +23 53 07.1   0.108  -0.188 J00434141+2353075  8.268  7.647  7.477         Hipparcos
GJ 3051                             00 44 19.34 +12 37 02.7   0.264  -0.199 J00441933+1237027  8.868  8.301  8.083         2MASS
GJ 3052                             00 44 20.65 +09 07 34.6   0.809  -0.021 J00442070+0907345  9.501  8.957  8.621         2MASS
Wo 9024               HIP 3479      00 44 26.65 -26 30 56.5   0.315   0.148 J00442661-2630566  6.570  6.243  6.163         Hipparcos
Gl 31.2 B             Wo 9025 B     00 44 35.00 -18 57 05.8   0.303   0.175 J00443497-1857060 11.274 10.720 10.426         2MASS
Gl 31.2 A             Wo 9025 A     00 44 37.15 -18 56 48.3   0.272   0.181 J00443713-1856485  7.984  7.323  7.124         Hipparcos
Gl 31.5               Wo 9028       00 44 39.27 -65 38 58.3   0.158  -0.741 J00443925-6538581  5.366  5.101  4.945         Hipparcos
Gl 31.3               Wo 9026       00 44 44.40 -22 00 22.1  -0.068   0.081 J00444439-2200219  4.334  4.469  4.359         Hipparcos
GJ 3053                             00 44 59.34 -15 16 17.5   0.313  -0.583 J00445930-1516166  9.612  9.092  8.821         2MASS
GJ 3050               HIP 3533      00 45 04.68 +75 56 16.1   0.390  -0.095 J00450467+7556160  5.908  5.648  5.534         Hipparcos
Gl 31.4               Wo 9027       00 45 04.89 +01 47 07.9  -0.048  -0.572 J00450489+0147077  6.306  5.868  5.741         Hipparcos
GJ 3054               HIP 3556      00 45 28.15 -51 37 33.9   0.098  -0.058 J00452814-5137339  8.481  7.867  7.623         Hipparcos
GJ 1020               HIP 3559      00 45 28.69 -12 52 50.9  -0.032  -0.205 J00452869-1252504  4.995  4.774  4.622         Hipparcos
GJ 1021               HIP 3583      00 45 45.59 -47 33 07.2   0.184   0.078 J00454561-4733072  4.666  4.155  4.298         Hipparcos
Gl 32 A               HIP 3588 A    00 45 48.28 -41 54 33.1   0.307  -0.076 J00454828-4154330  6.082  5.449  5.318         Hipparcos
Gl 32 B               HIP 3588 B    00 45 48.71 -41 54 34.7   0.307  -0.076 J00454870-4154345  6.270  5.622  5.516         Hipparcos
GJ 3055                             00 46 55.13 -26 08 05.3   0.209   0.195 J00465512-2608053 10.503  9.969  9.727         2MASS
GJ 3056                             00 47 07.96 -23 30 28.2   0.130  -0.161 J00470794-2330279  9.865  9.344  9.071         2MASS
Wo 9029 B                           00 47 29.59 -36 57 20.3  -0.174  -0.356 J00472959-3657201 10.952 10.384 10.090         2MASS
Wo 9029 A             HIP 3704      00 47 30.75 -36 56 24.7  -0.182  -0.352 J00473076-3656245  6.800  6.530  6.440         Hipparcos
Wo 9030               HIP 3734      00 47 57.37 -09 20 47.3   0.194   0.206 J00475734-0920476  6.742  6.493  6.458 c       Hipparcos
Gl 33                 HIP 3765      00 48 22.98 +05 16 50.2   0.757  -1.135 J00482303+0516497  4.367  3.722  3.683         Hipparcos
GJ 3057                             00 48 45.53 +27 01 09.1  -0.152  -0.275 J00484555+2701096  8.774  8.190  7.979         2MASS
GJ 3058                             00 48 58.24 +44 35 09.0   0.149  -0.113 J00485822+4435091  9.125  8.485  8.237         2MASS
Gl 34.1               Wo 9031       00 48 58.71 +16 56 26.3  -0.002  -0.201 J00485869+1656266  4.433  4.152  4.182         Hipparcos
GJ 3059               HIP 3813      00 49 01.71 -50 08 41.7   0.261  -0.216 J00490173-5008419  7.804  7.161  6.949         Hipparcos
Gl 34 B               HIP 3821 B    00 49 05.17 +57 49 03.8   1.105  -0.493 J00490516+5749037         4.147  3.881         Hipparcos
Gl 34 A               HIP 3821 A    00 49 06.29 +57 48 54.7   1.087  -0.560 J00490622+5748545  2.109  2.086  1.988         Hipparcos
Gl 35                 HIP 3829      00 49 09.90 +05 23 19.0   1.233  -2.711 J00490996+0523173 11.688 11.572 11.498         Hipparcos
Gl 36                 HIP 3850      00 49 26.77 -23 12 44.9   0.519   0.125 J00492678-2312447  5.813  5.433  5.305         Hipparcos
GJ 1022                             00 49 29.03 -61 02 32.7   1.116  -0.078 J00492903-6102326  8.627  8.089  7.837 h       2MASS
GJ 2014                             00 49 58.64 -26 24 05.6   0.055  -0.071 J00495863-2624055 13.516 13.274 13.136 h       2MASS
Gl 37                 HIP 3909      00 50 07.59 -10 38 39.6  -0.225  -0.229 J00500759-1038394  4.412  4.012  4.015         Hipparcos
GJ 3062               HIP 3922      00 50 20.82 -27 26 12.7   0.129   0.047 J00502081-2726126  7.935  7.448  7.344         Hipparcos
GJ 3061 B             HIP 3937 B    00 50 33.14 +24 49 01.7   0.198  -0.042 J00503319+2449009  7.951  7.350  7.119 f       Hipparcos
GJ 3060 A             HIP 3937 A    00 50 33.24 +24 49 00.2   0.198  -0.042 J00503319+2449009  7.951  7.350  7.119 f       Hipparcos
Gl 39                 HIP 3998      00 51 21.76 +18 44 21.3   0.052  -0.267 J00512173+1844218  6.952  6.380  6.239         Hipparcos
GJ 2015               HIP 4002      00 51 22.71 -27 23 13.5   0.025  -0.013 J00512270-2723135  8.542  8.040  7.861         Hipparcos
Gl 38                 HIP 4012      00 51 29.84 +58 18 07.3   1.571   0.402 J00512963+5818071  7.831  7.235  7.047         Hipparcos
Gl 40 A               HIP 4022      00 51 34.02 -22 54 36.2   0.612  -0.275 J00513400-2254361  6.545  5.921  5.735         Hipparcos
Gl 40 B                             00 51 35.18 -22 54 30.9   0.622  -0.270 J00513516-2254307 10.904 10.339 10.036         2MASS
Gl 42                 HIP 4148      00 53 01.14 -30 21 24.9   0.622   0.032 J00530108-3021249  5.537  5.049  4.894         Hipparcos
Gl 41                 HIP 4151      00 53 04.20 +61 07 26.3  -0.068   0.170 J00530419+6107262  3.936  3.681  3.638         Hipparcos
GJ 1023 A             HIP 4258 A    00 54 17.84 +69 02 50.2  -0.089  -0.038 J00541783+6902501  8.664  8.442  8.350         Hipparcos
GJ 1023 B             HIP 4258 B    00 54 18.98 +69 02 52.3  -0.089  -0.038 J00541897+6902522  9.022  8.772  8.691         Hipparcos
Gl 42.1               Wo 9032       00 54 59.27 +24 06 01.0  -0.185  -0.181 J00545929+2406013  6.204  5.940  5.819         Hipparcos
Gl 43                 HIP 4328      00 55 25.41 -51 49 57.5   0.336   0.349 J00552542-5149573  8.992  8.386  8.107         Hipparcos
GJ 3065               HIP 4353 A    00 55 49.26 -29 40 33.4   0.395   0.173 J00554926-2940336  7.284  6.744  6.571         Hipparcos
GJ 3064                             00 55 50.33 -11 27 31.6  -0.094   0.441 J00555032-1127312 14.506 14.348 14.291         2MASS
GJ 2016                             00 56 12.24 -27 37 30.5   0.087   0.068 J00561223-2737304 12.046 11.615 11.605 c       2MASS
GJ 3067                             00 56 19.67 -28 08 22.6   0.111  -0.115 J00561966-2808225  9.127  8.622  8.533         2MASS
GJ 1024                             00 56 38.38 +17 27 35.0   0.666  -0.295 J00563841+1727347  9.285  8.655  8.374         2MASS
Wo 9033               HIP 4422      00 56 39.91 +59 10 51.8  -0.092  -0.045 J00563990+5910517  3.123  2.680  2.468 c       Hipparcos
GJ 3066               HIP 4454      00 57 04.41 +69 02 36.4   0.715  -0.234 J00570437+6902363  7.114  6.591  6.459         Hipparcos
Gl 45                 HIP 4473      00 57 19.75 -62 14 44.2   1.024   0.128 J00571972-6214444  7.081  6.486  6.284         Hipparcos
Gl 44                 HIP 4478      00 57 20.22 -01 48 57.6  -0.249  -0.182 J00572024-0148573  7.901  7.464  7.334         Hipparcos
Gl 46                 HIP 4569      00 58 27.93 -27 51 25.3   1.293  -0.299 J00582789-2751251  7.763  7.203  6.892         Hipparcos
